,id,user_id,handle,clean_text,lang,timestamp,sentiment_label,sentiment_score,top_topic,Cryptocurrency and Fintech,Technology,Healthcare and Pharmaceuticals,Defense and Aerospace,Financials,Airlines and Travel,Energy,Agriculture,Automotive
0,1603456812723933194,12.0,jack,"RT @ODELL: @nobsbitcoin love to see it, if yall want to learn more about nostr we had a great conversation about it on @citadeldispatch bac…",en,2022-12-15 18:27:49.597000+00:00,Neutral,0.9777402877807616,Cryptocurrency and Fintech,0.7579898238182068,0.3763396739959717,0.04590250924229622,0.03289517015218735,0.019665976986289024,0.01911795884370804,0.013074387796223164,0.010587567463517189,0.007226112298667431
1,1600412216687149056,12.0,jack,RT @TheGuySwann: It would be so amazing to see Africa lead the world into a #Bitcoin future while the arrogance of western governments leav…,en,2022-12-07 08:49:41.336000+00:00,Positive,0.999987006187439,Cryptocurrency and Fintech,0.8686534762382507,0.85335773229599,0.025602983310818672,0.04414745792746544,0.210189551115036,0.011475714854896069,0.11053092777729034,0.03746885806322098,0.007175013888627291
2,1595502702854692866,12.0,jack,RT @kendricklamar: big steppers tour   (directors cut) @PrimeVideo https://t.co/LkJuKSDIHG https://t.co/PHvyr5U1bN,en,2022-11-23 19:41:02.024000+00:00,Neutral,0.9996127486228944,Technology,0.012001658789813519,0.25252389907836914,0.05717384070158005,0.07225979119539261,0.034317146986722946,0.007996050640940666,0.006216621957719326,0.003850774373859167,0.017826633527874947
3,1589450807216599040,12.0,jack,@litcapital @elonmusk Sure,en,2022-11-07 02:52:57.665000+00:00,Neutral,0.9857516884803772,Technology,0.28405338525772095,0.7681731581687927,0.2631692886352539,0.11960723996162415,0.36479976773262024,0.0588424950838089,0.23953938484191895,0.033245205879211426,0.12571802735328674
4,1582442966521503745,12.0,jack,RT @bluesky: Bluesky is building a social protocol. We released “ADX” (the X stood for Experiment) in May. Now that the design is starting…,en,2022-10-18 18:46:18.244000+00:00,Neutral,0.9999227523803712,Technology,0.00013406490324996412,0.058333564549684525,0.002962143160402775,0.0017366246320307255,0.0005401364178396761,0.004032338038086891,0.008652618154883385,0.0031167000997811556,0.0007056359900161624
5,1565736096675368960,12.0,jack,"RT @Beautyon_: Americans can't stand the idea of any country in South America rejecting their morally repugnant, indefensible, vile and rep…",en,2022-09-02 16:19:10.074000+00:00,Neutral,0.9996355772018432,Energy,0.03844847530126572,0.0450572595000267,0.1914721131324768,0.14868701994419098,0.1281363070011139,0.09256413578987122,0.22430098056793213,0.18988963961601257,0.07477026432752609
6,1513270246404202498,12.0,jack,RT @CharFadirepo: My favorite moment of the  @TheBitcoinConf was @milessuter’s amazing @CashApp talk. Here’s my recap:  1)”No company is do…,en,2022-04-10 21:38:36.601000+00:00,Neutral,0.9999295473098756,Cryptocurrency and Fintech,0.48553723096847534,0.378161758184433,0.004196228925138712,0.0015414197696372867,0.019023578613996506,0.0006741768447682261,0.03230605646967888,0.004785825032740831,0.004271682817488909
7,1512090196874973195,12.0,jack,RT @wiz: Bitcoin 2022 - Open Source Stage live stream https://t.co/zErUM0CfiK,en,2022-04-07 15:29:30.869000+00:00,Neutral,0.9999016523361206,Cryptocurrency and Fintech,0.9396864175796509,0.6955491304397583,0.0023780467454344034,0.0022208737209439278,0.0017225241754204035,0.0002491514605935663,0.001240062527358532,0.0005013602785766125,0.0006767705199308693
8,1486148765790707714,12.0,jack,RT @HBerkoe: @spiralbtc is hiring 3 bitcoin engineers and 1 creative lead. Why is this an amazing opportunity?…🧵👇,en,2022-01-26 01:27:31.730000+00:00,Positive,0.9999597072601318,Cryptocurrency and Fintech,0.9815436601638794,0.9741091132164001,0.07263921946287155,0.04979703947901726,0.09140922129154205,0.0008627931238152087,0.16067783534526825,0.002863258821889758,0.037320613861083984
9,1480636899622535181,12.0,jack,RT @KlayThompson: I’m BACK and changing it up: excited to take part of my paycheck in bitcoin thanks to Cash App! I’m with bitcoin because…,en,2022-01-10 20:25:20.430000+00:00,Neutral,0.52759850025177,Cryptocurrency and Fintech,0.9664564728736877,0.8340831398963928,0.127410426735878,0.11063671112060547,0.1806546300649643,0.03384070470929146,0.14222382009029388,0.056942444294691086,0.0493064746260643
10,1476252424063139851,12.0,jack,https://t.co/m3DevlzByx,und,2021-12-29 18:02:59.997000+00:00,Neutral,0.999269425868988,Technology,0.5026345252990723,0.603618860244751,0.5156970620155334,0.3992195427417755,0.3630068004131317,0.3520846962928772,0.43682125210762024,0.23933683335781097,0.42717307806015015
11,1473145001806860288,12.0,jack,@Big_Girl_Bets Santa is really and inflation will go away after he visits us,en,2021-12-21 04:15:12.798000+00:00,Neutral,0.9963181018829346,Financials,0.005639106500893831,0.014027850702404976,0.04212523624300957,0.003773727221414447,0.24967063963413239,0.019394762814044952,0.04031187668442726,0.005622254218906164,0.004398038145154715
12,1466163183819935752,12.0,jack,"RT @Square: Not to get all meta on you… but we’re going to! Block references the neighborhood blocks where we find our sellers, a blockchai…",en,2021-12-01 21:51:57.674000+00:00,Neutral,0.9999970197677612,Financials,0.00043775970698334277,0.0006701931706629694,0.00020421302178874612,0.00024838405079208314,0.0007181116961874068,0.00012107719521736726,0.000356276665115729,0.00032137578818947077,0.00034465023782104254
13,1460414618916978690,12.0,jack,RT @ashevat: Today’s API v2 launch is the first step for us in making this vision a reality - We see the future of Twitter as an ecosystem…,en,2021-11-16 01:09:12.998000+00:00,Positive,0.998051643371582,Technology,0.06174515187740326,0.7602835893630981,0.040716931223869324,0.01272678468376398,0.15683409571647644,0.01339393574744463,0.09988129884004593,0.010012093000113964,0.003731047036126256
14,1454218528194641922,12.0,jack,🙏🏼,und,2021-10-29 22:48:09.852000+00:00,Neutral,0.8443471789360046,Technology,0.29398882389068604,0.4689132571220398,0.3568231165409088,0.24778921902179718,0.26915737986564636,0.26603010296821594,0.3642224073410034,0.2696249783039093,0.3761126399040222
15,1447670908211056650,12.0,jack,RT @NakamotoQuotes: A lot of people automatically dismiss e-currency as a lost cause because of all the companies that failed since the 199…,en,2021-10-11 21:10:15.599000+00:00,Neutral,0.8436243534088135,Technology,0.6003203988075256,0.8917232751846313,0.0015029360074549913,0.0032365985680371523,0.019851550459861755,0.0020816286560148,0.0069120340049266815,0.00027988856891170144,0.0009151031263172626
16,1438571956945756165,12.0,jack,RT @MartyBent: .@diopfode is a boss.  https://t.co/9zFOek7kXb,en,2021-09-16 18:34:16.567000+00:00,Neutral,0.9994718432426452,Technology,0.28199338912963867,0.502887487411499,0.4746118187904358,0.4387669563293457,0.3956772983074188,0.2812338173389435,0.3822038471698761,0.170811727643013,0.21418683230876923
